                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9041,                 5.2267,                 1.9019,                0.25304,                0.11532,                0.08666,                0.02696,                 2.7059,                 3.6437,                  1.682,             0.00066484,             0.00066484,             0.00066484
                      2,                 2.5867,                 2.8099,                 1.7587,                0.17528,                0.17718,                0.09971,                0.03103,                 2.5351,                 2.9247,                 1.6297,              0.0011997,              0.0011997,              0.0011997
                      3,                 2.4834,                 2.3461,                 1.7122,                0.28321,                0.31846,                0.20727,                 0.0656,                  2.478,                 2.4009,                 1.6604,              0.0016025,              0.0016025,              0.0016025
                      4,                 2.3854,                 2.0934,                 1.6661,                0.40107,                0.37958,                0.34082,                0.11169,                 2.4461,                  2.085,                 1.6057,               0.001406,               0.001406,               0.001406
                      5,                 2.3075,                 1.8732,                 1.6277,                0.47775,                0.44625,                0.43424,                0.14934,                 2.4617,                 1.9658,                 1.6528,               0.001406,               0.001406,               0.001406
                      6,                 2.2254,                 1.6635,                  1.579,                0.64503,                0.56097,                0.59819,                0.21133,                 2.2786,                  1.617,                 1.5312,               0.001208,               0.001208,               0.001208
                      7,                 2.1488,                 1.4979,                  1.523,                0.77288,                0.65586,                0.72423,                0.26073,                 2.2077,                 1.4561,                 1.5045,                0.00101,                0.00101,                0.00101
                      8,                 2.0799,                 1.3724,                 1.4786,                0.77915,                0.64625,                0.72839,                 0.2668,                 2.2037,                 1.4462,                 1.4917,               0.000812,               0.000812,               0.000812
                      9,                  2.015,                 1.2343,                 1.4488,                0.83119,                0.76889,                 0.8425,                0.33738,                 2.0675,                 1.1751,                 1.4119,               0.000614,               0.000614,               0.000614
                     10,                 1.9553,                 1.1254,                 1.4072,                0.89412,                0.82402,                0.89016,                0.37745,                 1.9872,                 1.0987,                 1.3794,               0.000416,               0.000416,               0.000416
